customer,distribution_method,date,planned_method,final_method,completed_at,last_box_date,weekday,hour,morning_afternoon,is_unenrolled,deviation_from_plan,deviation_from_current,deviation_summary
Customer 14,pickup,2022-09-02,pickup,pickup,2022-09-02 15:13:46-04:00,,Friday,15,Afternoon,False,0,0,as planned
Customer 12,pickup,2022-09-02,pickup,pickup,2022-09-02 17:28:45-04:00,,Friday,17,Afternoon,False,0,0,as planned
Customer 39,pickup,2022-09-02,pickup,pickup,2022-09-03 13:33:11-04:00,,Saturday,13,Afternoon,False,0,0,as planned
Customer 42,pickup,2022-09-02,pickup,pickup,2022-09-03 11:05:23-04:00,,Saturday,11,Morning,False,0,0,as planned
Customer 29,pickup,2022-09-02,pickup,pickup,2022-09-02 16:53:34-04:00,,Friday,16,Afternoon,False,0,0,as planned
Customer 10,pickup,2022-09-02,pickup,pickup,2022-09-03 14:20:34-04:00,,Saturday,14,Afternoon,False,0,0,as planned
Customer 52,delivery,2022-09-02,delivery,reallocate,2022-09-02 14:12:49-04:00,,Friday,14,Afternoon,False,1,1,reallocate
Customer 47,pickup,2022-09-02,pickup,pickup,2022-09-02 13:37:37-04:00,,Friday,13,Afternoon,False,0,0,as planned
Customer 38,pickup,2022-09-02,pickup,pickup,2022-09-02 14:24:07-04:00,,Friday,14,Afternoon,False,0,0,as planned
Customer 44,pickup,2022-09-02,pickup,pickup,2022-09-02 17:17:10-04:00,,Friday,17,Afternoon,False,0,0,as planned
Customer 37,pickup,2022-09-02,pickup,pickup,2022-09-03 09:30:09-04:00,,Saturday,9,Morning,False,0,0,as planned
Customer 46,pickup,2022-09-02,pickup,reallocate,2022-09-03 19:42:37-04:00,,Saturday,19,Afternoon,False,1,1,reallocate
Customer 21,delivery,2022-09-02,delivery,delivery,2022-09-02 13:13:36-04:00,,Friday,13,Afternoon,False,0,0,as planned
Customer 18,pickup,2022-09-02,pickup,pickup,2022-09-03 09:04:07-04:00,,Saturday,9,Morning,False,0,0,as planned
Customer 54,pickup,2022-09-02,pickup,reallocate,2022-09-03 19:42:38-04:00,,Saturday,19,Afternoon,False,1,1,reallocate
Customer 3,pickup,2022-09-09,pickup,pickup,2022-09-10 15:16:34-04:00,,Saturday,15,Afternoon,False,0,0,as planned
Customer 6,pickup,2022-09-09,pickup,pickup,2022-09-10 16:27:42-04:00,,Saturday,16,Afternoon,False,0,0,as planned
Customer 40,delivery,2022-09-09,delivery,delivery,2022-09-09 17:35:50-04:00,,Friday,17,Afternoon,False,0,0,as planned
Customer 11,delivery,2022-09-09,delivery,delivery,2022-09-09 17:35:43-04:00,,Friday,17,Afternoon,False,0,0,as planned
Customer 51,pickup,2022-09-09,pickup,pickup,2022-09-09 17:46:22-04:00,,Friday,17,Afternoon,False,0,0,as planned
